Iela:,Cena,Stāvs:,Rajons:,Sērija:,Kadastra numurs:,Istabas:,Platība:,Mājas tips:,Pilsēta:,URL,Ērtības:
Dobeles 3 [Karte],33 000 € (1 137.93 €/m²),3/4,Āgenskalns,P. kara,,1,29 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/cjfhj.html,
Gaiļezera 4 [Karte],75 000 € (1 190.48 €/m²),7/9/lifts,Mežciems,602.,,3,63 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhciems/adgeo.html,"Lodžija, Parkošanas vieta"
Ziemeļblāzmas 51 [Karte],55 000 € (1 078.43 €/m²),2/9/lifts,Vecmīlgrāvis,602.,,2,51 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/dfimm.html,"Lodžija, Parkošanas vieta"
Slāvu 23 [Karte],79 800 € (1 308.20 €/m²),6/9/lifts,Pļavnieki,467.,,3,61 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/adnmh.html,Lodžija
Andromedas g. 4 [Karte],55 000 € (1 018.52 €/m²),4/5,Purvciems,LT proj.,,3,54 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/gpmpp.html,Lodžija
Aptiekas 11 [Karte],45 000 € (1 000 €/m²),3/3,Sarkandaugava,P. kara,,2,45 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/bxlmh.html,
Pērnavas 33 [Karte],165 000 € (3 367.35 €/m²),2/3,Grīziņkalns,P. kara,,2,49 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/grizinkalns/bpmxnk.html,Parkošanas vieta
Elizabetes 31a [Karte],650 000 € (3 051.64 €/m²),5/5,centrs,P. kara,,6,213 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/afiop.html,"Pirts, Parkošanas vieta"
M. Krūmu 9 [Karte],55 000 € (859.38 €/m²),3/9/lifts,Imanta,602.,,3,64 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/ebhlm.html,Lodžija
Dammes 8 [Karte],39 999 € (799.98 €/m²),9/9,Imanta,602.,01009073647,2,50 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/feiik.html,
